duration,current_median,current_mean,current_std,current_mse,current_rmse,current_min,current_max,current_skew,current_kurtosis,openpore_median,openpore_mean,openpore_std,openpore_rmse,openpore_min,openpore_max,openpore_skew,openpore_kurtosis,i_median_diff,i_mean_diff,i_var_diff,i_rmse_diff,i_min_diff,i_max_diff,i_res_mean,i_res_median,label
163.0234000000055,-126.733,-126.71888891917676,0.2094436260071128,0.0438666324750073,0.2094436260071128,-127.19,-126.135,0.3551596285760866,-0.1191233285430475,-127.484,-127.48596510367037,0.2217261742200176,0.2217261742200176,-128.137,-126.743,0.0046462267017289,-0.0860346339854034,0.7509999999999906,0.7670761844936038,-0.0052958638592382,0.0727726862170022,0.9470000000000028,0.6079999999999899,0.9939830538689508,0.9941090646669388,ethanal
15.0625,-132.624,-132.61674778761062,0.1526357796411727,0.0232976812266686,0.1526357796411727,-132.914,-132.27,0.2128745459061402,-0.4609862565479465,-133.466,-133.4628333364635,0.2253827143380616,0.2253827143380616,-134.604,-132.706,-0.074177702926927,0.4267522901251483,0.842000000000013,0.8460855488528694,-0.0274996866957236,0.1658302948671431,1.690000000000026,0.4359999999999786,0.993660515607968,0.9936912771792066,ethanal
341.7187000000268,-132.605,-132.59598322169472,0.2336733701438088,0.0546032439143654,0.2336733701438088,-133.241,-131.869,0.0778424964152035,0.1226994825692351,-133.464,-133.46176114481668,0.2667800226981957,0.2667800226981957,-134.975,-132.754,-0.6844057820326053,3.5324880954675604,0.8590000000000089,0.8657779231219536,-0.0165683365964843,0.1287180507795403,1.7339999999999804,0.8849999999999909,0.9935129139935256,0.9935638074686808,ethanal
15.6875,-132.4015,-132.42296033994333,0.228730289138298,0.0523175451692894,0.228730289138298,-132.933,-132.088,-0.5270583871435651,-0.6543730979796019,-133.448,-133.44908650261,0.203426060687449,0.203426060687449,-133.935,-132.972,0.0091472885285017,-0.5340476289630605,1.0465000000000089,1.026126162666657,0.0109353830024757,0.1045723816429352,1.0020000000000095,0.8840000000000146,0.9923107292109744,0.9921579941250523,ethanal
28.65620000002673,-132.528,-132.47883410852714,0.1924518836457021,0.0370377275187788,0.1924518836457021,-132.829,-131.991,0.5737146237573335,-0.2896243329912549,-133.44,-133.44962983659045,0.2633528915376478,0.2633528915376478,-135.708,-132.621,-1.81978463000922,12.863481697332851,0.912000000000006,0.9707957280633082,-0.0323170179624612,0.1797693465595879,2.8789999999999907,0.6299999999999955,0.9927253771385348,0.9931654676258992,ethanal
373.65629999997327,-132.597,-132.60562085167126,0.2299795779548303,0.0528906062762819,0.2299795779548303,-133.241,-131.955,0.0003903944118514,-0.0244517723493906,-133.443,-133.44987471251977,0.2449182909223042,0.2449182909223042,-135.268,-132.81,-0.6899507087291563,3.482448992721122,0.8460000000000036,0.8442538608485108,-0.0070943629520205,0.0842280413640289,2.026999999999987,0.8549999999999898,0.9936736256765528,0.9936602144735954,ethanal
25.40620000002673,-132.674,-132.70409361329834,0.2285591235355441,0.0522392729513361,0.2285591235355441,-133.282,-132.361,-0.5471366458113933,-0.4220972372558953,-133.435,-133.44774764357203,0.2445945283505616,0.2445945283505616,-134.177,-132.864,-0.1011487677362008,-0.403100904298757,0.7609999999999957,0.7436540302736887,-0.0075872103476975,0.0871045942973019,0.8949999999999818,0.5030000000000143,0.994427376681846,0.9942968486529022,ethanal
87.625,-132.421,-132.42017148655503,0.2325499177604738,0.0540794642504031,0.2325499177604738,-133.098,-131.894,-0.1134049413272146,-0.0246318864106562,-133.472,-133.48236668650662,0.2688527817929689,0.2688527817929689,-135.566,-132.661,-2.084704998442796,12.764465949615207,1.051000000000016,1.0621951999515886,-0.0182023540274146,0.1349160999562862,2.4679999999999893,0.7669999999999959,0.9920424305747724,0.9921256892831454,ethanal
81.84379999997327,-132.619,-132.62273798533803,0.240384252173209,0.0577845886928729,0.240384252173209,-133.172,-131.769,0.5131072174930732,1.486508305810672,-133.46,-133.46164039579148,0.2246981623525745,0.2246981623525745,-134.903,-132.745,-0.248654850424774,1.215667500428553,0.8410000000000082,0.8389024104534428,0.0072953245282489,0.085412671941867,1.7309999999999943,0.9759999999999992,0.993714280687952,0.993698486437884,ethanal
10.125,-132.594,-132.54505714285716,0.1609154888035697,0.0258937945368917,0.1609154888035697,-132.781,-132.188,0.7935851200380389,-0.4030323138878255,-133.44,-133.44284420033074,0.2227635331912482,0.2227635331912482,-134.168,-132.881,-0.3109241755026933,0.4049324553704689,0.8460000000000036,0.8977870574735789,-0.0237297971829565,0.1540447895352406,1.3870000000000005,0.693000000000012,0.9932721228863663,0.993660071942446,ethanal
84.25,-132.415,-132.4080812236287,0.2686385805652699,0.072166686968123,0.2686385805652699,-132.973,-131.519,0.5699103157914778,0.7745622987254666,-133.48,-133.486414077742,0.2574510153242823,0.2574510153242823,-135.64,-132.514,-1.1305306754005784,7.806684506608046,1.0649999999999975,1.078332854113313,0.0058856616766191,0.0767180661684011,2.666999999999973,0.9950000000000044,0.9919217782456476,0.9920212765957448,ethanal
148.375,-132.612,-132.6381799940102,0.2325041297643383,0.0540581703574722,0.2325041297643383,-133.301,-131.992,-0.0998313822523854,-0.1044976636191892,-133.474,-133.46298483796912,0.2254110175483939,0.2254110175483939,-134.043,-132.578,0.2049888785089098,-0.0748519189811958,0.8619999999999948,0.8248048439589297,0.0032480435252699,0.0569916092532041,0.7420000000000186,0.5860000000000127,0.9938199730437598,0.9935418133868767,ethanal
